county,office,district,party,candidate,votes,,,,,,,,,
New York,State Senate,27,,Void,0,,,,,,,,,
New York,State Senate,27,,Scattering,387,,,,,,,,,
New York,State Senate,27,,Total,143354,,,,,,,,,
New York,State Senate,28,DEM,Liz Krueger,97885,,,,,,,,,
New York,State Senate,28,REP,Michael Zumbluskas,31612,,,,,,,,,
New York,State Senate,28,WOR,Liz Krueger,3232,,,,,,,,,
New York,State Senate,28,IND,Michael Zumbluskas,989,,,,,,,,,
New York,State Senate,28,WEP,Michael Zumbluskas,279,,,,,,,,,
New York,State Senate,28,LBT,Michael Zumbluskas,908,,,,,,,,,
New York,State Senate,28,,Blank,7831,,,,,,,,,
New York,State Senate,28,,Void,0,,,,,,,,,
New York,State Senate,28,,Scattering,77,,,,,,,,,
New York,State Senate,28,,Total,142813,,,,,,,,,
Bronx,State Senate,29,DEM,Jose M. Serrano,18111,,,,,,,,,
Bronx,State Senate,29,REP,Jose A. Colon,686,,,,,,,,,
Bronx,State Senate,29,CON,Linda Ortiz,318,,,,,,,,,
Bronx,State Senate,29,,Blank,3389,,,,,,,,,
Bronx,State Senate,29,,Void,0,,,,,,,,,
Bronx,State Senate,29,,Scattering,13,,,,,,,,,
Bronx,State Senate,29,,Total,22517,,,,,,,,,
New York,State Senate,29,DEM,Jose M. Serrano,38083,,,,,,,,,
New York,State Senate,29,REP,Jose A. Colon,5472,,,,,,,,,
New York,State Senate,29,CON,Linda Ortiz,1434,,,,,,,,,
New York,State Senate,29,,Blank,3924,,,,,,,,,
New York,State Senate,29,,Void,0,,,,,,,,,
New York,State Senate,29,,Scattering,44,,,,,,,,,
New York,State Senate,29,,Total,48957,,,,,,,,,
Total,State Senate,29,DEM,Jose M. Serrano,56194,,,,,,,,,
Total,State Senate,29,REP,Jose A. Colon,6158,,,,,,,,,
Total,State Senate,29,CON,Linda Ortiz,1752,,,,,,,,,
Total,State Senate,29,,Blank,7313,,,,,,,,,
Total,State Senate,29,,Void,0,,,,,,,,,
Total,State Senate,29,,Scattering,57,,,,,,,,,
Total,State Senate,29,,Total,71474,,,,,,,,,
New York,State Senate,30,DEM,Bill Perkins,107425,,,,,,,,,
New York,State Senate,30,REP,Jon Girodes,5619,,,,,,,,,
New York,State Senate,30,WOR,Bill Perkins,5719,,,,,,,,,
New York,State Senate,30,,Blank,10225,,,,,,,,,
New York,State Senate,30,,Void,0,,,,,,,,,
New York,State Senate,30,,Scattering,134,,,,,,,,,
New York,State Senate,30,,Total,129122,,,,,,,,,
New York,State Senate,31,DEM,Marisol Alcantara,97964,,,,,,,,,
New York,State Senate,31,REP,Melinda Crump,8719,,,,,,,,,
New York,State Senate,31,CON,John Toro,1368,,,,,,,,,
New York,State Senate,31,GRN,Julia Willebrand,6400,,,,,,,,,
New York,State Senate,31,,Blank,12152,,,,,,,,,
New York,State Senate,31,,Void,0,,,,,,,,,
New York,State Senate,31,,Scattering,339,,,,,,,,,
New York,State Senate,31,,Total,126942,,,,,,,,,
Bronx,State Senate,32,DEM,"Ruben Diaz, Sr.",79574,,,,,,,,,
Bronx,State Senate,32,CON,Oswald Denis,2292,,,,,,,,,
Bronx,State Senate,32,,Blank,10424,,,,,,,,,
Bronx,State Senate,32,,Void,0,,,,,,,,,
Bronx,State Senate,32,,Scattering,114,,,,,,,,,
Bronx,State Senate,32,,Total,92404,,,,,,,,,
Bronx,State Senate,33,DEM,J. Gustavo Rivera,60230,,,,,,,,,
Bronx,State Senate,33,CON,Steven M. Stern,1340,,,,,,,,,
Bronx,State Senate,33,WOR,J. Gustavo Rivera,1723,,,,,,,,,
Bronx,State Senate,33,,Blank,14141,,,,,,,,,
Bronx,State Senate,33,,Void,0,,,,,,,,,
Bronx,State Senate,33,,Scattering,55,,,,,,,,,
Bronx,State Senate,33,,Total,77489,,,,,,,,,
Bronx,State Senate,34,DEM,Jeffrey D. Klein,70177,,,,,,,,,
Bronx,State Senate,34,CON,Aleksander Mici,5184,,,,,,,,,
Bronx,State Senate,34,GRN,Carl Lundgren,2438,,,,,,,,,
Bronx,State Senate,34,IND,Jeffrey D. Klein,1890,,,,,,,,,
Bronx,State Senate,34,WEP,Jeffrey D. Klein,2579,,,,,,,,,
Bronx,State Senate,34,,Blank,13913,,,,,,,,,
Bronx,State Senate,34,,Void,0,,,,,,,,,
Bronx,State Senate,34,,Scattering,103,,,,,,,,,
Bronx,State Senate,34,,Total,96284,,,,,,,,,
Westchester,State Senate,34,DEM,Jeffrey D. Klein,5922,,,,,,,,,
Westchester,State Senate,34,CON,Aleksander Mici,896,,,,,,,,,
Westchester,State Senate,34,GRN,Carl Lundgren,248,,,,,,,,,
Westchester,State Senate,34,IND,Jeffrey D. Klein,314,,,,,,,,,
Westchester,State Senate,34,WEP,Jeffrey D. Klein,116,,,,,,,,,
Westchester,State Senate,34,,Blank,1945,,,,,,,,,
Westchester,State Senate,34,,Void,0,,,,,,,,,
Westchester,State Senate,34,,Scattering,7,,,,,,,,,
Westchester,State Senate,34,,Total,9448,,,,,,,,,
Total,State Senate,34,DEM,Jeffrey D. Klein,76099,,,,,,,,,
Total,State Senate,34,CON,Aleksander Mici,6080,,,,,,,,,
Total,State Senate,34,GRN,Carl Lundgren,2686,,,,,,,,,
Total,State Senate,34,IND,Jeffrey D. Klein,2204,,,,,,,,,
Total,State Senate,34,WEP,Jeffrey D. Klein,2695,,,,,,,,,
Total,State Senate,34,,Blank,15858,,,,,,,,,
Total,State Senate,34,,Void,0,,,,,,,,,
Total,State Senate,34,,Scattering,110,,,,,,,,,
Total,State Senate,34,,Total,105732,,,,,,,,,
Westchester,State Senate,35,DEM,Andrea Stewart-Cousins,87271,,,,,,,,,
Westchester,State Senate,35,WOR,Andrea Stewart-Cousins,4216,,,,,,,,,
Westchester,State Senate,35,IND,Andrea Stewart-Cousins,2178,,,,,,,,,
Westchester,State Senate,35,WEP,Andrea Stewart-Cousins,1199,,,,,,,,,
Westchester,State Senate,35,,Blank,29889,,,,,,,,,
Westchester,State Senate,35,,Void,0,,,,,,,,,
Westchester,State Senate,35,,Scattering,440,,,,,,,,,
Westchester,State Senate,35,,Total,125193,,,,,,,,,
Bronx,State Senate,36,DEM,Jamaal T. Bailey,68292,,,,,,,,,
Bronx,State Senate,36,CON,Robert Diamond,1783,,,,,,,,,
Bronx,State Senate,36,WOR,Jamaal T. Bailey,1862,,,,,,,,,
Bronx,State Senate,36,,Blank,9780,,,,,,,,,
Bronx,State Senate,36,,Void,0,,,,,,,,,
Bronx,State Senate,36,,Scattering,62,,,,,,,,,
Bronx,State Senate,36,,Total,81779,,,,,,,,,
Westchester,State Senate,36,DEM,Jamaal T. Bailey,17615,,,,,,,,,
Westchester,State Senate,36,CON,Robert Diamond,673,,,,,,,,,
Westchester,State Senate,36,WOR,Jamaal T. Bailey,464,,,,,,,,,
Westchester,State Senate,36,,Blank,3900,,,,,,,,,
Westchester,State Senate,36,,Void,0,,,,,,,,,
Westchester,State Senate,36,,Scattering,10,,,,,,,,,
Westchester,State Senate,36,,Total,22662,,,,,,,,,
Total,State Senate,36,DEM,Jamaal T. Bailey,85907,,,,,,,,,
Total,State Senate,36,CON,Robert Diamond,2456,,,,,,,,,
Total,State Senate,36,WOR,Jamaal T. Bailey,2326,,,,,,,,,
Total,State Senate,36,,Blank,13680,,,,,,,,,
Total,State Senate,36,,Void,0,,,,,,,,,
Total,State Senate,36,,Scattering,72,,,,,,,,,
Total,State Senate,36,,Total,104441,,,,,,,,,
Westchester,State Senate,37,DEM,George Latimer,69420,,,,,,,,,
Westchester,State Senate,37,REP,Julia P. Killian,50713,,,,,,,,,
Westchester,State Senate,37,CON,Julia P. Killian,5216,,,,,,,,,
Westchester,State Senate,37,WOR,George Latimer,2815,,,,,,,,,
Westchester,State Senate,37,IND,Julia P. Killian,1809,,,,,,,,,
Westchester,State Senate,37,WEP,George Latimer,881,,,,,,,,,
Westchester,State Senate,37,REF,Julia P. Killian,426,,,,,,,,,
Westchester,State Senate,37,,Blank,11138,,,,,,,,,
Westchester,State Senate,37,,Void,0,,,,,,,,,
Westchester,State Senate,37,,Scattering,119,,,,,,,,,
Westchester,State Senate,37,,Total,142537,,,,,,,,,
Rockland,State Senate,38,DEM,David Carlucci,62822,,,,,,,,,
Rockland,State Senate,38,REP,Thomas F. DePrisco,29228,,,,,,,,,
Rockland,State Senate,38,CON,Thomas F. DePrisco,4414,,,,,,,,,
Rockland,State Senate,38,IND,David Carlucci,2954,,,,,,,,,
Rockland,State Senate,38,WEP,David Carlucci,1123,,,,,,,,,
Rockland,State Senate,38,REF,Thomas F. DePrisco,3931,,,,,,,,,
Rockland,State Senate,38,,Blank,10866,,,,,,,,,
Rockland,State Senate,38,,Void,148,,,,,,,,,
Rockland,State Senate,38,,Scattering,85,,,,,,,,,
Rockland,State Senate,38,,Total,115571,,,,,,,,,
Westchester,State Senate,38,DEM,David Carlucci,9895,,,,,,,,,
Westchester,State Senate,38,REP,Thomas F. DePrisco,3564,,,,,,,,,
Westchester,State Senate,38,CON,Thomas F. DePrisco,436,,,,,,,,,
Westchester,State Senate,38,IND,David Carlucci,332,,,,,,,,,
Westchester,State Senate,38,WEP,David Carlucci,191,,,,,,,,,
Westchester,State Senate,38,REF,Thomas F. DePrisco,39,,,,,,,,,
Westchester,State Senate,38,,Blank,1507,,,,,,,,,
Westchester,State Senate,38,,Void,0,,,,,,,,,
Westchester,State Senate,38,,Scattering,8,,,,,,,,,
Westchester,State Senate,38,,Total,15972,,,,,,,,,
Total,State Senate,38,DEM,David Carlucci,72717,,,,,,,,,
Total,State Senate,38,REP,Thomas F. DePrisco,32792,,,,,,,,,
Total,State Senate,38,CON,Thomas F. DePrisco,4850,,,,,,,,,
Total,State Senate,38,IND,David Carlucci,3286,,,,,,,,,
Total,State Senate,38,WEP,David Carlucci,1314,,,,,,,,,
Total,State Senate,38,REF,Thomas F. DePrisco,3970,,,,,,,,,
Total,State Senate,38,,Blank,12373,,,,,,,,,
Total,State Senate,38,,Void,148,,,,,,,,,
Total,State Senate,38,,Scattering,93,,,,,,,,,
Total,State Senate,38,,Total,131543,,,,,,,,,
Orange,State Senate,39,DEM,Christopher W. Eachus,32082,,,,,,,,,
Orange,State Senate,39,REP,"William J. Larkin, Jr.",39191,,,,,,,,,
Orange,State Senate,39,CON,"William J. Larkin, Jr.",4962,,,,,,,,,
Orange,State Senate,39,WOR,Christopher W. Eachus,2133,,,,,,,,,
Orange,State Senate,39,IND,"William J. Larkin, Jr.",6047,,,,,,,,,
Orange,State Senate,39,WEP,Christopher W. Eachus,580,,,,,,,,,
Orange,State Senate,39,REF,"William J. Larkin, Jr.",342,,,,,,,,,
Orange,State Senate,39,,Blank,6962,,,,,,,,,
Orange,State Senate,39,,Void,0,,,,,,,,,
Orange,State Senate,39,,Scattering,34,,,,,,,,,
Orange,State Senate,39,,Total,92333,,,,,,,,,
Rockland,State Senate,39,DEM,Christopher W. Eachus,9221,,,,,,,,,
Rockland,State Senate,39,REP,"William J. Larkin, Jr.",7645,,,,,,,,,
Rockland,State Senate,39,CON,"William J. Larkin, Jr.",1300,,,,,,,,,
Rockland,State Senate,39,WOR,Christopher W. Eachus,491,,,,,,,,,
Rockland,State Senate,39,IND,"William J. Larkin, Jr.",332,,,,,,,,,
Rockland,State Senate,39,WEP,Christopher W. Eachus,190,,,,,,,,,
Rockland,State Senate,39,REF,"William J. Larkin, Jr.",132,,,,,,,,,
Rockland,State Senate,39,,Blank,3131,,,,,,,,,
Rockland,State Senate,39,,Void,23,,,,,,,,,
Rockland,State Senate,39,,Scattering,13,,,,,,,,,
Rockland,State Senate,39,,Total,22478,,,,,,,,,
Ulster,State Senate,39,DEM,Christopher W. Eachus,2612,,,,,,,,,
Ulster,State Senate,39,REP,"William J. Larkin, Jr.",4174,,,,,,,,,
Ulster,State Senate,39,CON,"William J. Larkin, Jr.",652,,,,,,,,,
Ulster,State Senate,39,WOR,Christopher W. Eachus,258,,,,,,,,,
Ulster,State Senate,39,IND,"William J. Larkin, Jr.",232,,,,,,,,,
Ulster,State Senate,39,WEP,Christopher W. Eachus,74,,,,,,,,,
Ulster,State Senate,39,REF,"William J. Larkin, Jr.",22,,,,,,,,,
Ulster,State Senate,39,,Blank,514,,,,,,,,,
Ulster,State Senate,39,,Void,3,,,,,,,,,
Ulster,State Senate,39,,Scattering,2,,,,,,,,,
Ulster,State Senate,39,,Total,8543,,,,,,,,,
Total,State Senate,39,DEM,Christopher W. Eachus,43915,,,,,,,,,
Total,State Senate,39,REP,"William J. Larkin, Jr.",51010,,,,,,,,,
Total,State Senate,39,CON,"William J. Larkin, Jr.",6914,,,,,,,,,
Total,State Senate,39,WOR,Christopher W. Eachus,2882,,,,,,,,,
Total,State Senate,39,IND,"William J. Larkin, Jr.",6611,,,,,,,,,
Total,State Senate,39,WEP,Christopher W. Eachus,844,,,,,,,,,
Total,State Senate,39,REF,"William J. Larkin, Jr.",496,,,,,,,,,
Total,State Senate,39,,Blank,10607,,,,,,,,,
Total,State Senate,39,,Void,26,,,,,,,,,
Total,State Senate,39,,Scattering,49,,,,,,,,,
Total,State Senate,39,,Total,123354,,,,,,,,,
Dutchess,State Senate,40,DEM,Alison Boak,2765,,,,,,,,,
Dutchess,State Senate,40,REP,Terrence P. Murphy,5458,,,,,,,,,
Dutchess,State Senate,40,CON,Terrence P. Murphy,740,,,,,,,,,
Dutchess,State Senate,40,WOR,Alison Boak,225,,,,,,,,,
Dutchess,State Senate,40,IND,Terrence P. Murphy,305,,,,,,,,,
Dutchess,State Senate,40,REF,Terrence P. Murphy,44,,,,,,,,,
Dutchess,State Senate,40,,Blank,801,,,,,,,,,
Dutchess,State Senate,40,,Void,4,,,,,,,,,
Dutchess,State Senate,40,,Scattering,7,,,,,,,,,
Dutchess,State Senate,40,,Total,10349,,,,,,,,,
Putnam,State Senate,40,DEM,Alison Boak,7857,,,,,,,,,
Putnam,State Senate,40,REP,Terrence P. Murphy,16527,,,,,,,,,
Putnam,State Senate,40,CON,Terrence P. Murphy,2292,,,,,,,,,
Putnam,State Senate,40,WOR,Alison Boak,579,,,,,,,,,
Putnam,State Senate,40,IND,Terrence P. Murphy,870,,,,,,,,,
Putnam,State Senate,40,REF,Terrence P. Murphy,90,,,,,,,,,
Putnam,State Senate,40,,Blank,2416,,,,,,,,,
Putnam,State Senate,40,,Void,0,,,,,,,,,
Putnam,State Senate,40,,Scattering,4,,,,,,,,,
Putnam,State Senate,40,,Total,30635,,,,,,,,,
Westchester,State Senate,40,DEM,Alison Boak,45084,,,,,,,,,
Westchester,State Senate,40,REP,Terrence P. Murphy,46408,,,,,,,,,
Westchester,State Senate,40,CON,Terrence P. Murphy,5021,,,,,,,,,
Westchester,State Senate,40,WOR,Alison Boak,2227,,,,,,,,,
Westchester,State Senate,40,IND,Terrence P. Murphy,2231,,,,,,,,,
Westchester,State Senate,40,REF,Terrence P. Murphy,326,,,,,,,,,
Westchester,State Senate,40,,Blank,6912,,,,,,,,,
Westchester,State Senate,40,,Void,0,,,,,,,,,
Westchester,State Senate,40,,Scattering,34,,,,,,,,,
Westchester,State Senate,40,,Total,108243,,,,,,,,,
Total,State Senate,40,DEM,Alison Boak,55706,,,,,,,,,
Total,State Senate,40,REP,Terrence P. Murphy,68393,,,,,,,,,
Total,State Senate,40,CON,Terrence P. Murphy,8053,,,,,,,,,
Total,State Senate,40,WOR,Alison Boak,3031,,,,,,,,,
Total,State Senate,40,IND,Terrence P. Murphy,3406,,,,,,,,,
Total,State Senate,40,REF,Terrence P. Murphy,460,,,,,,,,,
Total,State Senate,40,,Blank,10129,,,,,,,,,
Total,State Senate,40,,Void,4,,,,,,,,,
Total,State Senate,40,,Scattering,45,,,,,,,,,
Total,State Senate,40,,Total,149227,,,,,,,,,
Dutchess,State Senate,41,DEM,Terry Gipson,45877,,,,,,,,,
Dutchess,State Senate,41,REP,Susan J. Serino,52533,,,,,,,,,
Dutchess,State Senate,41,CON,Susan J. Serino,7815,,,,,,,,,
Dutchess,State Senate,41,GRN,Terry Gipson,1326,,,,,,,,,
Dutchess,State Senate,41,WOR,Terry Gipson,3086,,,,,,,,,
Dutchess,State Senate,41,IND,Susan J. Serino,2930,,,,,,,,,
Dutchess,State Senate,41,WEP,Terry Gipson,680,,,,,,,,,
Dutchess,State Senate,41,REF,Susan J. Serino,443,,,,,,,,,
Dutchess,State Senate,41,,Blank,6965,,,,,,,,,
Dutchess,State Senate,41,,Void,114,,,,,,,,,
Dutchess,State Senate,41,,Scattering,48,,,,,,,,,
Dutchess,State Senate,41,,Total,121817,,,,,,,,,
Putnam,State Senate,41,DEM,Terry Gipson,6842,,,,,,,,,
Putnam,State Senate,41,REP,Susan J. Serino,7555,,,,,,,,,
Putnam,State Senate,41,CON,Susan J. Serino,1186,,,,,,,,,
Putnam,State Senate,41,GRN,Terry Gipson,208,,,,,,,,,
Putnam,State Senate,41,WOR,Terry Gipson,475,,,,,,,,,
Putnam,State Senate,41,IND,Susan J. Serino,424,,,,,,,,,
Putnam,State Senate,41,WEP,Terry Gipson,122,,,,,,,,,
Putnam,State Senate,41,REF,Susan J. Serino,56,,,,,,,,,
Putnam,State Senate,41,,Blank,1357,,,,,,,,,
Putnam,State Senate,41,,Void,0,,,,,,,,,
Putnam,State Senate,41,,Scattering,5,,,,,,,,,
Putnam,State Senate,41,,Total,18230,,,,,,,,,
Total,State Senate,41,DEM,Terry Gipson,52719,,,,,,,,,
Total,State Senate,41,REP,Susan J. Serino,60088,,,,,,,,,
Total,State Senate,41,CON,Susan J. Serino,9001,,,,,,,,,
Total,State Senate,41,GRN,Terry Gipson,1534,,,,,,,,,
Total,State Senate,41,WOR,Terry Gipson,3561,,,,,,,,,
Total,State Senate,41,IND,Susan J. Serino,3354,,,,,,,,,
Total,State Senate,41,WEP,Terry Gipson,802,,,,,,,,,
Total,State Senate,41,REF,Susan J. Serino,499,,,,,,,,,
Total,State Senate,41,,Blank,8322,,,,,,,,,
Total,State Senate,41,,Void,114,,,,,,,,,
Total,State Senate,41,,Scattering,53,,,,,,,,,
Total,State Senate,41,,Total,140047,,,,,,,,,
Sullivan,State Senate,42,DEM,Pramilla S. Malick,9128,,,,,,,,,
Sullivan,State Senate,42,REP,John J. Bonacic,14257,,,,,,,,,
Sullivan,State Senate,42,CON,John J. Bonacic,2347,,,,,,,,,
Sullivan,State Senate,42,IND,John J. Bonacic,1205,,,,,,,,,
Sullivan,State Senate,42,REF,John J. Bonacic,89,,,,,,,,,
Sullivan,State Senate,42,,Blank,3394,,,,,,,,,
Sullivan,State Senate,42,,Void,49,,,,,,,,,
Sullivan,State Senate,42,,Scattering,15,,,,,,,,,
Sullivan,State Senate,42,,Total,30484,,,,,,,,,
Delaware,State Senate,42,DEM,Pramilla S. Malick,1257,,,,,,,,,
Delaware,State Senate,42,REP,John J. Bonacic,4077,,,,,,,,,
Delaware,State Senate,42,CON,John J. Bonacic,414,,,,,,,,,
Delaware,State Senate,42,IND,John J. Bonacic,239,,,,,,,,,
Delaware,State Senate,42,REF,John J. Bonacic,21,,,,,,,,,
Delaware,State Senate,42,,Blank,381,,,,,,,,,
Delaware,State Senate,42,,Void,1,,,,,,,,,
Delaware,State Senate,42,,Scattering,7,,,,,,,,,
Delaware,State Senate,42,,Total,6397,,,,,,,,,
Orange,State Senate,42,DEM,Pramilla S. Malick,22771,,,,,,,,,
Orange,State Senate,42,REP,John J. Bonacic,29374,,,,,,,,,
Orange,State Senate,42,CON,John J. Bonacic,3729,,,,,,,,,
Orange,State Senate,42,IND,John J. Bonacic,1708,,,,,,,,,
Orange,State Senate,42,REF,John J. Bonacic,202,,,,,,,,,
Orange,State Senate,42,,Blank,6524,,,,,,,,,
Orange,State Senate,42,,Void,0,,,,,,,,,
Orange,State Senate,42,,Scattering,25,,,,,,,,,
Orange,State Senate,42,,Total,64333,,,,,,,,,
Ulster,State Senate,42,DEM,Pramilla S. Malick,10511,,,,,,,,,
Ulster,State Senate,42,REP,John J. Bonacic,8635,,,,,,,,,
Ulster,State Senate,42,CON,John J. Bonacic,1292,,,,,,,,,
Ulster,State Senate,42,IND,John J. Bonacic,803,,,,,,,,,
Ulster,State Senate,42,REF,John J. Bonacic,110,,,,,,,,,
Ulster,State Senate,42,,Blank,1899,,,,,,,,,
Ulster,State Senate,42,,Void,14,,,,,,,,,
Ulster,State Senate,42,,Scattering,24,,,,,,,,,
Ulster,State Senate,42,,Total,23288,,,,,,,,,
Total,State Senate,42,DEM,Pramilla S. Malick,43667,,,,,,,,,
Total,State Senate,42,REP,John J. Bonacic,56343,,,,,,,,,
Total,State Senate,42,CON,John J. Bonacic,7782,,,,,,,,,
Total,State Senate,42,IND,John J. Bonacic,3955,,,,,,,,,
Total,State Senate,42,REF,John J. Bonacic,422,,,,,,,,,
Total,State Senate,42,,Blank,12198,,,,,,,,,
Total,State Senate,42,,Void,64,,,,,,,,,
Total,State Senate,42,,Scattering,71,,,,,,,,,
Total,State Senate,42,,Total,124502,,,,,,,,,
Columbia,State Senate,43,DEM,Shaun P. Francis,10942,,,,,,,,,
Columbia,State Senate,43,REP,Kathleen A. Marchione,13054,,,,,,,,,
Columbia,State Senate,43,CON,Kathleen A. Marchione,2074,,,,,,,,,
Columbia,State Senate,43,GRN,Joseph Levy,628,,,,,,,,,
Columbia,State Senate,43,WOR,Shaun P. Francis,1095,,,,,,,,,
Columbia,State Senate,43,IND,Kathleen A. Marchione,1183,,,,,,,,,
Columbia,State Senate,43,REF,Kathleen A. Marchione,94,,,,,,,,,
Columbia,State Senate,43,,Blank,2049,,,,,,,,,
Columbia,State Senate,43,,Void,20,,,,,,,,,
Columbia,State Senate,43,,Scattering,13,,,,,,,,,
Columbia,State Senate,43,,Total,31152,,,,,,,,,
Rensselaer,State Senate,43,DEM,Shaun P. Francis,16436,,,,,,,,,
Rensselaer,State Senate,43,REP,Kathleen A. Marchione,25917,,,,,,,,,
Rensselaer,State Senate,43,CON,Kathleen A. Marchione,4644,,,,,,,,,
Rensselaer,State Senate,43,GRN,Joseph Levy,1215,,,,,,,,,
Rensselaer,State Senate,43,WOR,Shaun P. Francis,1637,,,,,,,,,
Rensselaer,State Senate,43,IND,Kathleen A. Marchione,2926,,,,,,,,,
Rensselaer,State Senate,43,REF,Kathleen A. Marchione,214,,,,,,,,,
Rensselaer,State Senate,43,,Blank,3853,,,,,,,,,
Rensselaer,State Senate,43,,Void,2,,,,,,,,,
Rensselaer,State Senate,43,,Scattering,25,,,,,,,,,
Rensselaer,State Senate,43,,Total,56869,,,,,,,,,
Saratoga,State Senate,43,DEM,Shaun P. Francis,18617,,,,,,,,,
Saratoga,State Senate,43,REP,Kathleen A. Marchione,28048,,,,,,,,,
Saratoga,State Senate,43,CON,Kathleen A. Marchione,3380,,,,,,,,,
Saratoga,State Senate,43,GRN,Joseph Levy,1424,,,,,,,,,
Saratoga,State Senate,43,WOR,Shaun P. Francis,1246,,,,,,,,,
Saratoga,State Senate,43,IND,Kathleen A. Marchione,1912,,,,,,,,,
Saratoga,State Senate,43,REF,Kathleen A. Marchione,186,,,,,,,,,
Saratoga,State Senate,43,,Blank,3888,,,,,,,,,
Saratoga,State Senate,43,,Void,0,,,,,,,,,
Saratoga,State Senate,43,,Scattering,23,,,,,,,,,
Saratoga,State Senate,43,,Total,58724,,,,,,,,,
Washington,State Senate,43,DEM,Shaun P. Francis,631,,,,,,,,,
Washington,State Senate,43,REP,Kathleen A. Marchione,1153,,,,,,,,,
Washington,State Senate,43,CON,Kathleen A. Marchione,206,,,,,,,,,
Washington,State Senate,43,GRN,Joseph Levy,63,,,,,,,,,
Washington,State Senate,43,WOR,Shaun P. Francis,56,,,,,,,,,
Washington,State Senate,43,IND,Kathleen A. Marchione,59,,,,,,,,,
Washington,State Senate,43,REF,Kathleen A. Marchione,7,,,,,,,,,
Washington,State Senate,43,,Blank,111,,,,,,,,,
Washington,State Senate,43,,Void,0,,,,,,,,,
Washington,State Senate,43,,Scattering,3,,,,,,,,,
Washington,State Senate,43,,Total,2289,,,,,,,,,
Total,State Senate,43,DEM,Shaun P. Francis,46626,,,,,,,,,
Total,State Senate,43,REP,Kathleen A. Marchione,68172,,,,,,,,,
Total,State Senate,43,CON,Kathleen A. Marchione,10304,,,,,,,,,
Total,State Senate,43,GRN,Joseph Levy,3330,,,,,,,,,
Total,State Senate,43,WOR,Shaun P. Francis,4034,,,,,,,,,
Total,State Senate,43,IND,Kathleen A. Marchione,6080,,,,,,,,,
Total,State Senate,43,REF,Kathleen A. Marchione,501,,,,,,,,,
Total,State Senate,43,,Blank,9901,,,,,,,,,
Total,State Senate,43,,Void,22,,,,,,,,,
Total,State Senate,43,,Scattering,64,,,,,,,,,
Total,State Senate,43,,Total,149034,,,,,,,,,
Albany,State Senate,44,DEM,Neil D. Breslin,61613,,,,,,,,,
Albany,State Senate,44,REP,Christopher F. Davis,24524,,,,,,,,,
Albany,State Senate,44,CON,Christopher F. Davis,3779,,,,,,,,,
Albany,State Senate,44,GRN,Deyva Arthur,2078,,,,,,,,,
Albany,State Senate,44,WOR,Neil D. Breslin,3728,,,,,,,,,
Albany,State Senate,44,IND,Neil D. Breslin,3044,,,,,,,,,
Albany,State Senate,44,REF,Christopher F. Davis,779,,,,,,,,,
Albany,State Senate,44,,Blank,7713,,,,,,,,,
Albany,State Senate,44,,Void,91,,,,,,,,,
Albany,State Senate,44,,Scattering,88,,,,,,,,,
Albany,State Senate,44,,Total,107437,,,,,,,,,
Rensselaer,State Senate,44,DEM,Neil D. Breslin,8203,,,,,,,,,
Rensselaer,State Senate,44,REP,Christopher F. Davis,3147,,,,,,,,,
Rensselaer,State Senate,44,CON,Christopher F. Davis,689,,,,,,,,,
Rensselaer,State Senate,44,GRN,Deyva Arthur,423,,,,,,,,,
Rensselaer,State Senate,44,WOR,Neil D. Breslin,607,,,,,,,,,
Rensselaer,State Senate,44,IND,Neil D. Breslin,626,,,,,,,,,
Rensselaer,State Senate,44,REF,Christopher F. Davis,118,,,,,,,,,
Rensselaer,State Senate,44,,Blank,1299,,,,,,,,,
Rensselaer,State Senate,44,,Void,1,,,,,,,,,
Rensselaer,State Senate,44,,Scattering,10,,,,,,,,,
Rensselaer,State Senate,44,,Total,15123,,,,,,,,,
Total,State Senate,44,DEM,Neil D. Breslin,69816,,,,,,,,,
Total,State Senate,44,REP,Christopher F. Davis,27671,,,,,,,,,
Total,State Senate,44,CON,Christopher F. Davis,4468,,,,,,,,,
Total,State Senate,44,GRN,Deyva Arthur,2501,,,,,,,,,
Total,State Senate,44,WOR,Neil D. Breslin,4335,,,,,,,,,
Total,State Senate,44,IND,Neil D. Breslin,3670,,,,,,,,,
Total,State Senate,44,REF,Christopher F. Davis,897,,,,,,,,,
Total,State Senate,44,,Blank,9012,,,,,,,,,
Total,State Senate,44,,Void,92,,,,,,,,,
Total,State Senate,44,,Scattering,98,,,,,,,,,
Total,State Senate,44,,Total,122560,,,,,,,,,
Clinton,State Senate,45,REP,Elizabeth O'C. Little,19141,,,,,,,,,
Clinton,State Senate,45,CON,Elizabeth O'C. Little,1803,,,,,,,,,
Clinton,State Senate,45,GRN,Stephen Matthew Ruzbacki,3266,,,,,,,,,
Clinton,State Senate,45,IND,Elizabeth O'C. Little,2621,,,,,,,,,
Clinton,State Senate,45,,Blank,7681,,,,,,,,,
Clinton,State Senate,45,,Void,2,,,,,,,,,
Clinton,State Senate,45,,Scattering,22,,,,,,,,,
Clinton,State Senate,45,,Total,34536,,,,,,,,,
Essex,State Senate,45,REP,Elizabeth O'C. Little,10589,,,,,,,,,
Essex,State Senate,45,CON,Elizabeth O'C. Little,1014,,,,,,,,,
Essex,State Senate,45,GRN,Stephen Matthew Ruzbacki,1716,,,,,,,,,
