party,office,county,assembly_district,election_district,district,candidate,votes
Democratic,Lieutenant Governor,New York,72,94,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,72,95,,JUMAANE WILLIAMS,53
Democratic,Lieutenant Governor,New York,72,95,,KATHY C. HOCHUL,51
Democratic,Lieutenant Governor,New York,72,95,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,72,96,,JUMAANE WILLIAMS,25
Democratic,Lieutenant Governor,New York,72,96,,KATHY C. HOCHUL,64
Democratic,Lieutenant Governor,New York,72,96,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,72,97,,JUMAANE WILLIAMS,28
Democratic,Lieutenant Governor,New York,72,97,,KATHY C. HOCHUL,41
Democratic,Lieutenant Governor,New York,72,97,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,1,,JUMAANE WILLIAMS,41
Democratic,Lieutenant Governor,New York,73,1,,KATHY C. HOCHUL,60
Democratic,Lieutenant Governor,New York,73,1,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,10,,JUMAANE WILLIAMS,102
Democratic,Lieutenant Governor,New York,73,10,,KATHY C. HOCHUL,120
Democratic,Lieutenant Governor,New York,73,10,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,100,,JUMAANE WILLIAMS,66
Democratic,Lieutenant Governor,New York,73,100,,KATHY C. HOCHUL,80
Democratic,Lieutenant Governor,New York,73,100,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,101,,JUMAANE WILLIAMS,32
Democratic,Lieutenant Governor,New York,73,101,,KATHY C. HOCHUL,53
Democratic,Lieutenant Governor,New York,73,101,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,102,,JUMAANE WILLIAMS,64
Democratic,Lieutenant Governor,New York,73,102,,KATHY C. HOCHUL,57
Democratic,Lieutenant Governor,New York,73,102,,WRITE-IN,2.0
Democratic,Lieutenant Governor,New York,73,103,,JUMAANE WILLIAMS,36
Democratic,Lieutenant Governor,New York,73,103,,KATHY C. HOCHUL,41
Democratic,Lieutenant Governor,New York,73,103,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,104,,JUMAANE WILLIAMS,85
Democratic,Lieutenant Governor,New York,73,104,,KATHY C. HOCHUL,63
Democratic,Lieutenant Governor,New York,73,104,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,105,,JUMAANE WILLIAMS,58
Democratic,Lieutenant Governor,New York,73,105,,KATHY C. HOCHUL,57
Democratic,Lieutenant Governor,New York,73,105,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,106,,JUMAANE WILLIAMS,63
Democratic,Lieutenant Governor,New York,73,106,,KATHY C. HOCHUL,55
Democratic,Lieutenant Governor,New York,73,106,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,107,,JUMAANE WILLIAMS,72
Democratic,Lieutenant Governor,New York,73,107,,KATHY C. HOCHUL,49
Democratic,Lieutenant Governor,New York,73,107,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,11,,JUMAANE WILLIAMS,66
Democratic,Lieutenant Governor,New York,73,11,,KATHY C. HOCHUL,59
Democratic,Lieutenant Governor,New York,73,11,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,12,,JUMAANE WILLIAMS,27
Democratic,Lieutenant Governor,New York,73,12,,KATHY C. HOCHUL,37
Democratic,Lieutenant Governor,New York,73,12,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,13,,JUMAANE WILLIAMS,61
Democratic,Lieutenant Governor,New York,73,13,,KATHY C. HOCHUL,64
Democratic,Lieutenant Governor,New York,73,13,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,14,,JUMAANE WILLIAMS,29
Democratic,Lieutenant Governor,New York,73,14,,KATHY C. HOCHUL,18
Democratic,Lieutenant Governor,New York,73,14,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,15,,JUMAANE WILLIAMS,32
Democratic,Lieutenant Governor,New York,73,15,,KATHY C. HOCHUL,26
Democratic,Lieutenant Governor,New York,73,15,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,16,,JUMAANE WILLIAMS,40
Democratic,Lieutenant Governor,New York,73,16,,KATHY C. HOCHUL,49
Democratic,Lieutenant Governor,New York,73,16,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,17,,JUMAANE WILLIAMS,49
Democratic,Lieutenant Governor,New York,73,17,,KATHY C. HOCHUL,84
Democratic,Lieutenant Governor,New York,73,17,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,18,,JUMAANE WILLIAMS,53
Democratic,Lieutenant Governor,New York,73,18,,KATHY C. HOCHUL,61
Democratic,Lieutenant Governor,New York,73,18,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,19,,JUMAANE WILLIAMS,42
Democratic,Lieutenant Governor,New York,73,19,,KATHY C. HOCHUL,56
Democratic,Lieutenant Governor,New York,73,19,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,2,,JUMAANE WILLIAMS,31
Democratic,Lieutenant Governor,New York,73,2,,KATHY C. HOCHUL,46
Democratic,Lieutenant Governor,New York,73,2,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,20,,JUMAANE WILLIAMS,1
Democratic,Lieutenant Governor,New York,73,20,,KATHY C. HOCHUL,1
Democratic,Lieutenant Governor,New York,73,20,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,21,,JUMAANE WILLIAMS,74
Democratic,Lieutenant Governor,New York,73,21,,KATHY C. HOCHUL,78
Democratic,Lieutenant Governor,New York,73,21,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,22,,JUMAANE WILLIAMS,67
Democratic,Lieutenant Governor,New York,73,22,,KATHY C. HOCHUL,60
Democratic,Lieutenant Governor,New York,73,22,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,23,,JUMAANE WILLIAMS,67
Democratic,Lieutenant Governor,New York,73,23,,KATHY C. HOCHUL,57
Democratic,Lieutenant Governor,New York,73,23,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,24,,JUMAANE WILLIAMS,97
Democratic,Lieutenant Governor,New York,73,24,,KATHY C. HOCHUL,152
Democratic,Lieutenant Governor,New York,73,24,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,25,,JUMAANE WILLIAMS,70
Democratic,Lieutenant Governor,New York,73,25,,KATHY C. HOCHUL,107
Democratic,Lieutenant Governor,New York,73,25,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,26,,JUMAANE WILLIAMS,85
Democratic,Lieutenant Governor,New York,73,26,,KATHY C. HOCHUL,98
Democratic,Lieutenant Governor,New York,73,26,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,27,,JUMAANE WILLIAMS,53
Democratic,Lieutenant Governor,New York,73,27,,KATHY C. HOCHUL,68
Democratic,Lieutenant Governor,New York,73,27,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,28,,JUMAANE WILLIAMS,86
Democratic,Lieutenant Governor,New York,73,28,,KATHY C. HOCHUL,104
Democratic,Lieutenant Governor,New York,73,28,,WRITE-IN,2.0
Democratic,Lieutenant Governor,New York,73,29,,JUMAANE WILLIAMS,70
Democratic,Lieutenant Governor,New York,73,29,,KATHY C. HOCHUL,90
Democratic,Lieutenant Governor,New York,73,29,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,3,,JUMAANE WILLIAMS,110
Democratic,Lieutenant Governor,New York,73,3,,KATHY C. HOCHUL,99
Democratic,Lieutenant Governor,New York,73,3,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,30,,JUMAANE WILLIAMS,64
Democratic,Lieutenant Governor,New York,73,30,,KATHY C. HOCHUL,68
Democratic,Lieutenant Governor,New York,73,30,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,31,,JUMAANE WILLIAMS,96
Democratic,Lieutenant Governor,New York,73,31,,KATHY C. HOCHUL,90
Democratic,Lieutenant Governor,New York,73,31,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,32,,JUMAANE WILLIAMS,75
Democratic,Lieutenant Governor,New York,73,32,,KATHY C. HOCHUL,57
Democratic,Lieutenant Governor,New York,73,32,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,33,,JUMAANE WILLIAMS,94
Democratic,Lieutenant Governor,New York,73,33,,KATHY C. HOCHUL,127
Democratic,Lieutenant Governor,New York,73,33,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,34,,JUMAANE WILLIAMS,42
Democratic,Lieutenant Governor,New York,73,34,,KATHY C. HOCHUL,65
Democratic,Lieutenant Governor,New York,73,34,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,35,,JUMAANE WILLIAMS,80
Democratic,Lieutenant Governor,New York,73,35,,KATHY C. HOCHUL,169
Democratic,Lieutenant Governor,New York,73,35,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,36,,JUMAANE WILLIAMS,70
Democratic,Lieutenant Governor,New York,73,36,,KATHY C. HOCHUL,89
Democratic,Lieutenant Governor,New York,73,36,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,37,,JUMAANE WILLIAMS,79
Democratic,Lieutenant Governor,New York,73,37,,KATHY C. HOCHUL,84
Democratic,Lieutenant Governor,New York,73,37,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,38,,JUMAANE WILLIAMS,81
Democratic,Lieutenant Governor,New York,73,38,,KATHY C. HOCHUL,88
Democratic,Lieutenant Governor,New York,73,38,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,39,,JUMAANE WILLIAMS,69
Democratic,Lieutenant Governor,New York,73,39,,KATHY C. HOCHUL,97
Democratic,Lieutenant Governor,New York,73,39,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,4,,JUMAANE WILLIAMS,56
Democratic,Lieutenant Governor,New York,73,4,,KATHY C. HOCHUL,64
Democratic,Lieutenant Governor,New York,73,4,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,40,,JUMAANE WILLIAMS,61
Democratic,Lieutenant Governor,New York,73,40,,KATHY C. HOCHUL,95
Democratic,Lieutenant Governor,New York,73,40,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,41,,JUMAANE WILLIAMS,65
Democratic,Lieutenant Governor,New York,73,41,,KATHY C. HOCHUL,104
Democratic,Lieutenant Governor,New York,73,41,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,42,,JUMAANE WILLIAMS,61
Democratic,Lieutenant Governor,New York,73,42,,KATHY C. HOCHUL,51
Democratic,Lieutenant Governor,New York,73,42,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,43,,JUMAANE WILLIAMS,4
Democratic,Lieutenant Governor,New York,73,43,,KATHY C. HOCHUL,4
Democratic,Lieutenant Governor,New York,73,43,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,44,,JUMAANE WILLIAMS,80
Democratic,Lieutenant Governor,New York,73,44,,KATHY C. HOCHUL,58
Democratic,Lieutenant Governor,New York,73,44,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,45,,JUMAANE WILLIAMS,30
Democratic,Lieutenant Governor,New York,73,45,,KATHY C. HOCHUL,34
Democratic,Lieutenant Governor,New York,73,45,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,46,,JUMAANE WILLIAMS,22
Democratic,Lieutenant Governor,New York,73,46,,KATHY C. HOCHUL,32
Democratic,Lieutenant Governor,New York,73,46,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,47,,JUMAANE WILLIAMS,56
Democratic,Lieutenant Governor,New York,73,47,,KATHY C. HOCHUL,79
Democratic,Lieutenant Governor,New York,73,47,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,48,,JUMAANE WILLIAMS,39
Democratic,Lieutenant Governor,New York,73,48,,KATHY C. HOCHUL,52
Democratic,Lieutenant Governor,New York,73,48,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,49,,JUMAANE WILLIAMS,86
Democratic,Lieutenant Governor,New York,73,49,,KATHY C. HOCHUL,81
Democratic,Lieutenant Governor,New York,73,49,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,5,,JUMAANE WILLIAMS,61
Democratic,Lieutenant Governor,New York,73,5,,KATHY C. HOCHUL,63
Democratic,Lieutenant Governor,New York,73,5,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,50,,JUMAANE WILLIAMS,32
Democratic,Lieutenant Governor,New York,73,50,,KATHY C. HOCHUL,35
Democratic,Lieutenant Governor,New York,73,50,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,51,,JUMAANE WILLIAMS,33
Democratic,Lieutenant Governor,New York,73,51,,KATHY C. HOCHUL,45
Democratic,Lieutenant Governor,New York,73,51,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,52,,JUMAANE WILLIAMS,36
Democratic,Lieutenant Governor,New York,73,52,,KATHY C. HOCHUL,34
Democratic,Lieutenant Governor,New York,73,52,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,53,,JUMAANE WILLIAMS,67
Democratic,Lieutenant Governor,New York,73,53,,KATHY C. HOCHUL,52
Democratic,Lieutenant Governor,New York,73,53,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,54,,JUMAANE WILLIAMS,57
Democratic,Lieutenant Governor,New York,73,54,,KATHY C. HOCHUL,49
Democratic,Lieutenant Governor,New York,73,54,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,55,,JUMAANE WILLIAMS,60
Democratic,Lieutenant Governor,New York,73,55,,KATHY C. HOCHUL,81
Democratic,Lieutenant Governor,New York,73,55,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,56,,JUMAANE WILLIAMS,58
Democratic,Lieutenant Governor,New York,73,56,,KATHY C. HOCHUL,88
Democratic,Lieutenant Governor,New York,73,56,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,57,,JUMAANE WILLIAMS,75
Democratic,Lieutenant Governor,New York,73,57,,KATHY C. HOCHUL,102
Democratic,Lieutenant Governor,New York,73,57,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,58,,JUMAANE WILLIAMS,47
Democratic,Lieutenant Governor,New York,73,58,,KATHY C. HOCHUL,75
Democratic,Lieutenant Governor,New York,73,58,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,59,,JUMAANE WILLIAMS,48
Democratic,Lieutenant Governor,New York,73,59,,KATHY C. HOCHUL,65
Democratic,Lieutenant Governor,New York,73,59,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,6,,JUMAANE WILLIAMS,67
Democratic,Lieutenant Governor,New York,73,6,,KATHY C. HOCHUL,52
Democratic,Lieutenant Governor,New York,73,6,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,60,,JUMAANE WILLIAMS,52
Democratic,Lieutenant Governor,New York,73,60,,KATHY C. HOCHUL,99
Democratic,Lieutenant Governor,New York,73,60,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,61,,JUMAANE WILLIAMS,55
Democratic,Lieutenant Governor,New York,73,61,,KATHY C. HOCHUL,58
Democratic,Lieutenant Governor,New York,73,61,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,62,,JUMAANE WILLIAMS,53
Democratic,Lieutenant Governor,New York,73,62,,KATHY C. HOCHUL,85
Democratic,Lieutenant Governor,New York,73,62,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,63,,JUMAANE WILLIAMS,86
Democratic,Lieutenant Governor,New York,73,63,,KATHY C. HOCHUL,98
Democratic,Lieutenant Governor,New York,73,63,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,64,,JUMAANE WILLIAMS,70
Democratic,Lieutenant Governor,New York,73,64,,KATHY C. HOCHUL,77
Democratic,Lieutenant Governor,New York,73,64,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,65,,JUMAANE WILLIAMS,88
Democratic,Lieutenant Governor,New York,73,65,,KATHY C. HOCHUL,84
Democratic,Lieutenant Governor,New York,73,65,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,66,,JUMAANE WILLIAMS,50
Democratic,Lieutenant Governor,New York,73,66,,KATHY C. HOCHUL,64
Democratic,Lieutenant Governor,New York,73,66,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,67,,JUMAANE WILLIAMS,46
Democratic,Lieutenant Governor,New York,73,67,,KATHY C. HOCHUL,74
Democratic,Lieutenant Governor,New York,73,67,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,68,,JUMAANE WILLIAMS,107
Democratic,Lieutenant Governor,New York,73,68,,KATHY C. HOCHUL,102
Democratic,Lieutenant Governor,New York,73,68,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,69,,JUMAANE WILLIAMS,121
Democratic,Lieutenant Governor,New York,73,69,,KATHY C. HOCHUL,125
Democratic,Lieutenant Governor,New York,73,69,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,7,,JUMAANE WILLIAMS,48
Democratic,Lieutenant Governor,New York,73,7,,KATHY C. HOCHUL,52
Democratic,Lieutenant Governor,New York,73,7,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,70,,JUMAANE WILLIAMS,65
Democratic,Lieutenant Governor,New York,73,70,,KATHY C. HOCHUL,58
Democratic,Lieutenant Governor,New York,73,70,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,71,,JUMAANE WILLIAMS,62
Democratic,Lieutenant Governor,New York,73,71,,KATHY C. HOCHUL,73
Democratic,Lieutenant Governor,New York,73,71,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,72,,JUMAANE WILLIAMS,53
Democratic,Lieutenant Governor,New York,73,72,,KATHY C. HOCHUL,54
Democratic,Lieutenant Governor,New York,73,72,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,73,,JUMAANE WILLIAMS,86
Democratic,Lieutenant Governor,New York,73,73,,KATHY C. HOCHUL,99
Democratic,Lieutenant Governor,New York,73,73,,WRITE-IN,2.0
Democratic,Lieutenant Governor,New York,73,74,,JUMAANE WILLIAMS,98
Democratic,Lieutenant Governor,New York,73,74,,KATHY C. HOCHUL,90
Democratic,Lieutenant Governor,New York,73,74,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,75,,JUMAANE WILLIAMS,58
Democratic,Lieutenant Governor,New York,73,75,,KATHY C. HOCHUL,64
Democratic,Lieutenant Governor,New York,73,75,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,76,,JUMAANE WILLIAMS,48
Democratic,Lieutenant Governor,New York,73,76,,KATHY C. HOCHUL,78
Democratic,Lieutenant Governor,New York,73,76,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,77,,JUMAANE WILLIAMS,49
Democratic,Lieutenant Governor,New York,73,77,,KATHY C. HOCHUL,68
Democratic,Lieutenant Governor,New York,73,77,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,78,,JUMAANE WILLIAMS,66
Democratic,Lieutenant Governor,New York,73,78,,KATHY C. HOCHUL,88
Democratic,Lieutenant Governor,New York,73,78,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,79,,JUMAANE WILLIAMS,90
Democratic,Lieutenant Governor,New York,73,79,,KATHY C. HOCHUL,115
Democratic,Lieutenant Governor,New York,73,79,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,8,,JUMAANE WILLIAMS,2
Democratic,Lieutenant Governor,New York,73,8,,KATHY C. HOCHUL,2
Democratic,Lieutenant Governor,New York,73,8,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,80,,JUMAANE WILLIAMS,98
Democratic,Lieutenant Governor,New York,73,80,,KATHY C. HOCHUL,103
Democratic,Lieutenant Governor,New York,73,80,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,81,,JUMAANE WILLIAMS,60
Democratic,Lieutenant Governor,New York,73,81,,KATHY C. HOCHUL,85
Democratic,Lieutenant Governor,New York,73,81,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,82,,JUMAANE WILLIAMS,61
Democratic,Lieutenant Governor,New York,73,82,,KATHY C. HOCHUL,78
Democratic,Lieutenant Governor,New York,73,82,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,83,,JUMAANE WILLIAMS,97
Democratic,Lieutenant Governor,New York,73,83,,KATHY C. HOCHUL,90
Democratic,Lieutenant Governor,New York,73,83,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,84,,JUMAANE WILLIAMS,83
Democratic,Lieutenant Governor,New York,73,84,,KATHY C. HOCHUL,74
Democratic,Lieutenant Governor,New York,73,84,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,85,,JUMAANE WILLIAMS,102
Democratic,Lieutenant Governor,New York,73,85,,KATHY C. HOCHUL,66
Democratic,Lieutenant Governor,New York,73,85,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,86,,JUMAANE WILLIAMS,97
Democratic,Lieutenant Governor,New York,73,86,,KATHY C. HOCHUL,97
Democratic,Lieutenant Governor,New York,73,86,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,87,,JUMAANE WILLIAMS,72
Democratic,Lieutenant Governor,New York,73,87,,KATHY C. HOCHUL,122
Democratic,Lieutenant Governor,New York,73,87,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,88,,JUMAANE WILLIAMS,66
Democratic,Lieutenant Governor,New York,73,88,,KATHY C. HOCHUL,53
Democratic,Lieutenant Governor,New York,73,88,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,89,,JUMAANE WILLIAMS,102
Democratic,Lieutenant Governor,New York,73,89,,KATHY C. HOCHUL,83
Democratic,Lieutenant Governor,New York,73,89,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,9,,JUMAANE WILLIAMS,91
Democratic,Lieutenant Governor,New York,73,9,,KATHY C. HOCHUL,109
Democratic,Lieutenant Governor,New York,73,9,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,90,,JUMAANE WILLIAMS,92
Democratic,Lieutenant Governor,New York,73,90,,KATHY C. HOCHUL,115
Democratic,Lieutenant Governor,New York,73,90,,WRITE-IN,3.0
Democratic,Lieutenant Governor,New York,73,91,,JUMAANE WILLIAMS,88
Democratic,Lieutenant Governor,New York,73,91,,KATHY C. HOCHUL,131
Democratic,Lieutenant Governor,New York,73,91,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,92,,JUMAANE WILLIAMS,71
Democratic,Lieutenant Governor,New York,73,92,,KATHY C. HOCHUL,114
Democratic,Lieutenant Governor,New York,73,92,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,73,93,,JUMAANE WILLIAMS,115
Democratic,Lieutenant Governor,New York,73,93,,KATHY C. HOCHUL,103
Democratic,Lieutenant Governor,New York,73,93,,WRITE-IN,2.0
Democratic,Lieutenant Governor,New York,73,94,,JUMAANE WILLIAMS,88
Democratic,Lieutenant Governor,New York,73,94,,KATHY C. HOCHUL,84
Democratic,Lieutenant Governor,New York,73,94,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,95,,JUMAANE WILLIAMS,72
Democratic,Lieutenant Governor,New York,73,95,,KATHY C. HOCHUL,84
Democratic,Lieutenant Governor,New York,73,95,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,96,,JUMAANE WILLIAMS,84
Democratic,Lieutenant Governor,New York,73,96,,KATHY C. HOCHUL,69
Democratic,Lieutenant Governor,New York,73,96,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,97,,JUMAANE WILLIAMS,67
Democratic,Lieutenant Governor,New York,73,97,,KATHY C. HOCHUL,87
Democratic,Lieutenant Governor,New York,73,97,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,98,,JUMAANE WILLIAMS,33
Democratic,Lieutenant Governor,New York,73,98,,KATHY C. HOCHUL,21
Democratic,Lieutenant Governor,New York,73,98,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,73,99,,JUMAANE WILLIAMS,60
Democratic,Lieutenant Governor,New York,73,99,,KATHY C. HOCHUL,60
Democratic,Lieutenant Governor,New York,73,99,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,74,1,,JUMAANE WILLIAMS,50
Democratic,Lieutenant Governor,New York,74,1,,KATHY C. HOCHUL,63
Democratic,Lieutenant Governor,New York,74,1,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,10,,JUMAANE WILLIAMS,80
Democratic,Lieutenant Governor,New York,74,10,,KATHY C. HOCHUL,30
Democratic,Lieutenant Governor,New York,74,10,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,100,,JUMAANE WILLIAMS,115
Democratic,Lieutenant Governor,New York,74,100,,KATHY C. HOCHUL,61
Democratic,Lieutenant Governor,New York,74,100,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,101,,JUMAANE WILLIAMS,71
Democratic,Lieutenant Governor,New York,74,101,,KATHY C. HOCHUL,73
Democratic,Lieutenant Governor,New York,74,101,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,102,,JUMAANE WILLIAMS,36
Democratic,Lieutenant Governor,New York,74,102,,KATHY C. HOCHUL,37
Democratic,Lieutenant Governor,New York,74,102,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,103,,JUMAANE WILLIAMS,52
Democratic,Lieutenant Governor,New York,74,103,,KATHY C. HOCHUL,58
Democratic,Lieutenant Governor,New York,74,103,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,104,,JUMAANE WILLIAMS,70
Democratic,Lieutenant Governor,New York,74,104,,KATHY C. HOCHUL,63
Democratic,Lieutenant Governor,New York,74,104,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,74,105,,JUMAANE WILLIAMS,161
Democratic,Lieutenant Governor,New York,74,105,,KATHY C. HOCHUL,67
Democratic,Lieutenant Governor,New York,74,105,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,106,,JUMAANE WILLIAMS,114
Democratic,Lieutenant Governor,New York,74,106,,KATHY C. HOCHUL,31
Democratic,Lieutenant Governor,New York,74,106,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,107,,JUMAANE WILLIAMS,54
Democratic,Lieutenant Governor,New York,74,107,,KATHY C. HOCHUL,51
Democratic,Lieutenant Governor,New York,74,107,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,11,,JUMAANE WILLIAMS,54
Democratic,Lieutenant Governor,New York,74,11,,KATHY C. HOCHUL,75
Democratic,Lieutenant Governor,New York,74,11,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,12,,JUMAANE WILLIAMS,53
Democratic,Lieutenant Governor,New York,74,12,,KATHY C. HOCHUL,85
Democratic,Lieutenant Governor,New York,74,12,,WRITE-IN,1.0
Democratic,Lieutenant Governor,New York,74,13,,JUMAANE WILLIAMS,53
Democratic,Lieutenant Governor,New York,74,13,,KATHY C. HOCHUL,80
Democratic,Lieutenant Governor,New York,74,13,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,14,,JUMAANE WILLIAMS,60
Democratic,Lieutenant Governor,New York,74,14,,KATHY C. HOCHUL,68
Democratic,Lieutenant Governor,New York,74,14,,WRITE-IN,0.0
Democratic,Lieutenant Governor,New York,74,15,,JUMAANE WILLIAMS,114
