county,office,district,party,candidate,votes,
,U.S. House,13,CON,Vito Fossella,9295,
RICHMOND,U.S. House,13,RTL,Vito Fossella,4023,
KINGS,U.S. House,13,RTL,Vito Fossella,792,
,U.S. House,13,RTL,Vito Fossella,4815,
RICHMOND,U.S. House,13,GRE,Anita Lerman,878,
KINGS,U.S. House,13,GRE,Anita Lerman,473,
,U.S. House,13,GRE,Anita Lerman,1351,
RICHMOND,U.S. House,13,WOR,Katina M. Johnstone,1455,
KINGS,U.S. House,13,WOR,Katina M. Johnstone,385,
,U.S. House,13,WOR,Katina M. Johnstone,1840,
RICHMOND,U.S. House,13,,"Blank, Void & Scattering",16962,
KINGS,U.S. House,13,,"Blank, Void & Scattering",13499,
,U.S. House,13,,"Blank, Void & Scattering",30461,
RICHMOND,U.S. House,13,,Total,144499,
KINGS,U.S. House,13,,Total,56024,
,U.S. House,13,,Total,200523,
NEW YORK,U.S. House,14,REP,C. Adrienne Rhodes,40419,
QUEENS,U.S. House,14,REP,C. Adrienne Rhodes,5034,
,U.S. House,14,REP,C. Adrienne Rhodes,45453,
NEW YORK,U.S. House,14,DEM,Carolyn B. Maloney,124169,
QUEENS,U.S. House,14,DEM,Carolyn B. Maloney,19640,
,U.S. House,14,DEM,Carolyn B. Maloney,143809,
NEW YORK,U.S. House,14,IND,Frederick D. Newman,1719,
QUEENS,U.S. House,14,IND,Frederick D. Newman,227,
,U.S. House,14,IND,Frederick D. Newman,1946,
NEW YORK,U.S. House,14,LIB,Carolyn B. Maloney,3672,
QUEENS,U.S. House,14,LIB,Carolyn B. Maloney,599,
,U.S. House,14,LIB,Carolyn B. Maloney,4271,
NEW YORK,U.S. House,14,GRE,Sandra Stevens,4054,
QUEENS,U.S. House,14,GRE,Sandra Stevens,815,
,U.S. House,14,GRE,Sandra Stevens,4869,
NEW YORK,U.S. House,14,,"Blank, Void & Scattering",32887,206920
QUEENS,U.S. House,14,,"Blank, Void & Scattering",8978,35293
,U.S. House,14,,"Blank, Void & Scattering",41865,242213
NEW YORK,U.S. House,14,,Total,206920,
QUEENS,U.S. House,14,,Total,35293,
,U.S. House,14,,Total,242213,
NEW YORK,U.S. House,15,REP,Jose Agustin Suero,6906,
NEW YORK,U.S. House,15,DEM,Charles B. Rangel,124415,
NEW YORK,U.S. House,15,IND,Jessie A. Fields,1051,
NEW YORK,U.S. House,15,CON,Frank Della Valle,492,
NEW YORK,U.S. House,15,LIB,Charles B. Rangel,1833,
NEW YORK,U.S. House,15,GRE,Dean Loren,2134,
NEW YORK,U.S. House,15,WOR,Charles B. Rangel,3913,
NEW YORK,U.S. House,15,LBT,Scott A. Jeffery,480,
NEW YORK,U.S. House,15,REF,Jose Agustin Suero,440,
NEW YORK,U.S. House,15,,"Blank, Void & Scattering",34062,
NEW YORK,U.S. House,15,,Total,175726,
BRONX,U.S. House,16,REP,Aaron Justice,3934,
BRONX,U.S. House,16,DEM,Jose E. Serrano,100891,
BRONX,U.S. House,16,CON,Richard Retcho,571,
BRONX,U.S. House,16,LIB,Jose E. Serrano,2150,
BRONX,U.S. House,16,,"Blank, Void & Scattering",32814,
BRONX,U.S. House,16,,Total,140360,
BRONX,U.S. House,17,REP,Patrick McManus,8983,
WESTCHESTER,U.S. House,17,REP,Patrick McManus,2530,
,U.S. House,17,REP,Patrick McManus,11513,
BRONX,U.S. House,17,DEM,Eliot L. Engel,89940,
WESTCHESTER,U.S. House,17,DEM,Eliot L. Engel,22808,
,U.S. House,17,DEM,Eliot L. Engel,112748,
BRONX,U.S. House,17,CON,Patrick McManus,1400,
WESTCHESTER,U.S. House,17,CON,Patrick McManus,288,
,U.S. House,17,CON,Patrick McManus,1688,
BRONX,U.S. House,17,LIB,Eliot L. Engel,2008,
WESTCHESTER,U.S. House,17,LIB,Eliot L. Engel,337,
,U.S. House,17,LIB,Eliot L. Engel,2345,
BRONX,U.S. House,17,,"Blank, Void & Scattering",30739,
WESTCHESTER,U.S. House,17,,"Blank, Void & Scattering",6736,
,U.S. House,17,,"Blank, Void & Scattering",37475,
BRONX,U.S. House,17,,Total,133070,
WESTCHESTER,U.S. House,17,,Total,32699,
,U.S. House,17,,Total,165769,
BRONX,U.S. House,18,REP,John G. Vonglis,2201,
QUEENS,U.S. House,18,REP,John G. Vonglis,7008,
WESTCHESTER,U.S. House,18,REP,John G. Vonglis,43714,
,U.S. House,18,REP,John G. Vonglis,52923,
BRONX,U.S. House,18,DEM,Nita M. Lowey,2447,
QUEENS,U.S. House,18,DEM,Nita M. Lowey,31231,
WESTCHESTER,U.S. House,18,DEM,Nita M. Lowey,93200,
,U.S. House,18,DEM,Nita M. Lowey,126878,
BRONX,U.S. House,18,CON,John G. Vonglis,537,
QUEENS,U.S. House,18,CON,John G. Vonglis,620,
WESTCHESTER,U.S. House,18,CON,John G. Vonglis,3942,
,U.S. House,18,CON,John G. Vonglis,5099,
BRONX,U.S. House,18,RTL,Florence T. O'Grady,67,
QUEENS,U.S. House,18,RTL,Florence T. O'Grady,357,
WESTCHESTER,U.S. House,18,RTL,Florence T. O'Grady,3323,
,U.S. House,18,RTL,Florence T. O'Grady,3747,
BRONX,U.S. House,18,,"Blank, Void & Scattering",2198,
QUEENS,U.S. House,18,,"Blank, Void & Scattering",11002,
WESTCHESTER,U.S. House,18,,"Blank, Void & Scattering",26400,
,U.S. House,18,,"Blank, Void & Scattering",39600,
BRONX,U.S. House,18,,Total,7450,
QUEENS,U.S. House,18,,Total,50218,
WESTCHESTER,U.S. House,18,,Total,170579,
,U.S. House,18,,Total,228247,
PUTNAM,U.S. House,19,REP,Sue W. Kelly,23196,
DUTCHESS,U.S. House,19,REP,Sue W. Kelly,37895,
ORANGE,U.S. House,19,REP,Sue W. Kelly,11234,
WESTCHESTER,U.S. House,19,REP,Sue W. Kelly,61638,
,U.S. House,19,REP,Sue W. Kelly,133963,
PUTNAM,U.S. House,19,DEM,Larry Otis Graham,10027,
DUTCHESS,U.S. House,19,DEM,Larry Otis Graham,20513,
ORANGE,U.S. House,19,DEM,Larry Otis Graham,4731,
WESTCHESTER,U.S. House,19,DEM,Larry Otis Graham,46811,
,U.S. House,19,DEM,Larry Otis Graham,82082,
PUTNAM,U.S. House,19,CON,Sue W. Kelly,2775,
DUTCHESS,U.S. House,19,CON,Sue W. Kelly,3379,
ORANGE,U.S. House,19,CON,Sue W. Kelly,940,
WESTCHESTER,U.S. House,19,CON,Sue W. Kelly,4475,
,U.S. House,19,CON,Sue W. Kelly,11569,
PUTNAM,U.S. House,19,LIB,Larry Otis Graham,297,
DUTCHESS,U.S. House,19,LIB,Larry Otis Graham,616,
ORANGE,U.S. House,19,LIB,Larry Otis Graham,116,
WESTCHESTER,U.S. House,19,LIB,Larry Otis Graham,987,
,U.S. House,19,LIB,Larry Otis Graham,2016,
PUTNAM,U.S. House,19,RTL,Frank X. Lloyd,855,
DUTCHESS,U.S. House,19,RTL,Frank X. Lloyd,1245,
ORANGE,U.S. House,19,RTL,Frank X. Lloyd,354,
WESTCHESTER,U.S. House,19,RTL,Frank X. Lloyd,1632,
,U.S. House,19,RTL,Frank X. Lloyd,4086,
PUTNAM,U.S. House,19,GRE,Mark R. Jacobs,706,
DUTCHESS,U.S. House,19,GRE,Mark R. Jacobs,908,
ORANGE,U.S. House,19,GRE,Mark R. Jacobs,226,
WESTCHESTER,U.S. House,19,GRE,Mark R. Jacobs,1822,
,U.S. House,19,GRE,Mark R. Jacobs,3662,
PUTNAM,U.S. House,19,WOR,Larry Otis Graham,246,
DUTCHESS,U.S. House,19,WOR,Larry Otis Graham,481,
ORANGE,U.S. House,19,WOR,Larry Otis Graham,85,
WESTCHESTER,U.S. House,19,WOR,Larry Otis Graham,961,
,U.S. House,19,WOR,Larry Otis Graham,1773,
PUTNAM,U.S. House,19,,"Blank, Void & Scattering",4694,
DUTCHESS,U.S. House,19,,"Blank, Void & Scattering",7460,
ORANGE,U.S. House,19,,"Blank, Void & Scattering",2287,
WESTCHESTER,U.S. House,19,,"Blank, Void & Scattering",13739,
,U.S. House,19,,"Blank, Void & Scattering",28180,
PUTNAM,U.S. House,19,,Total,42796,
DUTCHESS,U.S. House,19,,Total,72497,
ORANGE,U.S. House,19,,Total,19973,
WESTCHESTER,U.S. House,19,,Total,132065,
,U.S. House,19,,Total,267331,
ROCKLAND,U.S. House,20,REP,Benjamin A. Gilman,61879,
ORANGE,U.S. House,20,REP,Benjamin A. Gilman,53951,
SULLIVAN,U.S. House,20,REP,Benjamin A. Gilman,6650,
WESTCHESTER,U.S. House,20,REP,Benjamin A. Gilman,13536,
,U.S. House,20,REP,Benjamin A. Gilman,136016,
ROCKLAND,U.S. House,20,DEM,Paul J. Feiner,39990,
ORANGE,U.S. House,20,DEM,Paul J. Feiner,22112,
SULLIVAN,U.S. House,20,DEM,Paul J. Feiner,2589,
WESTCHESTER,U.S. House,20,DEM,Paul J. Feiner,22911,
,U.S. House,20,DEM,Paul J. Feiner,87602,
ROCKLAND,U.S. House,20,LIB,Paul J. Feiner,1059,
ORANGE,U.S. House,20,LIB,Paul J. Feiner,505,
SULLIVAN,U.S. House,20,LIB,Paul J. Feiner,78,
WESTCHESTER,U.S. House,20,LIB,Paul J. Feiner,422,
,U.S. House,20,LIB,Paul J. Feiner,2064,
ROCKLAND,U.S. House,20,RTL,Christine M. Tighe,2440,
ORANGE,U.S. House,20,RTL,Christine M. Tighe,2113,
SULLIVAN,U.S. House,20,RTL,Christine M. Tighe,193,
WESTCHESTER,U.S. House,20,RTL,Christine M. Tighe,625,
,U.S. House,20,RTL,Christine M. Tighe,5371,
ROCKLAND,U.S. House,20,GRE,Paul J. Feiner,1272,
ORANGE,U.S. House,20,GRE,Paul J. Feiner,1032,
SULLIVAN,U.S. House,20,GRE,Paul J. Feiner,147,
WESTCHESTER,U.S. House,20,GRE,Paul J. Feiner,459,
,U.S. House,20,GRE,Paul J. Feiner,2910,
ROCKLAND,U.S. House,20,WOR,Paul J. Feiner,1318,
ORANGE,U.S. House,20,WOR,Paul J. Feiner,341,
SULLIVAN,U.S. House,20,WOR,Paul J. Feiner,41,
WESTCHESTER,U.S. House,20,WOR,Paul J. Feiner,370,
,U.S. House,20,WOR,Paul J. Feiner,2070,
ROCKLAND,U.S. House,20,,"Blank, Void & Scattering",16372,
ORANGE,U.S. House,20,,"Blank, Void & Scattering",9835,
SULLIVAN,U.S. House,20,,"Blank, Void & Scattering",1145,
WESTCHESTER,U.S. House,20,,"Blank, Void & Scattering",5123,
,U.S. House,20,,"Blank, Void & Scattering",32475,
ROCKLAND,U.S. House,20,,Total,124330,
ORANGE,U.S. House,20,,Total,89889,
SULLIVAN,U.S. House,20,,Total,10843,
WESTCHESTER,U.S. House,20,,Total,43446,
,U.S. House,20,,Total,268508,
ALBANY,U.S. House,21,REP,Thomas G. Pillsworth,30546,
SCHENECTADY,U.S. House,21,REP,Thomas G. Pillsworth,16643,
MONTGOMERY,U.S. House,21,REP,Thomas G. Pillsworth,3983,
RENSSELAER,U.S. House,21,REP,Thomas G. Pillsworth,8009,
SARATOGA,U.S. House,21,REP,Thomas G. Pillsworth,1152,
,U.S. House,21,REP,Thomas G. Pillsworth,60333,
ALBANY,U.S. House,21,DEM,Michael R. McNulty,91552,
SCHENECTADY,U.S. House,21,DEM,Michael R. McNulty,36328,
MONTGOMERY,U.S. House,21,DEM,Michael R. McNulty,8270,
RENSSELAER,U.S. House,21,DEM,Michael R. McNulty,19584,
SARATOGA,U.S. House,21,DEM,Michael R. McNulty,2039,
,U.S. House,21,DEM,Michael R. McNulty,157773,
ALBANY,U.S. House,21,IND,Michael R. McNulty,4827,
SCHENECTADY,U.S. House,21,IND,Michael R. McNulty,2059,
MONTGOMERY,U.S. House,21,IND,Michael R. McNulty,561,
RENSSELAER,U.S. House,21,IND,Michael R. McNulty,1519,
SARATOGA,U.S. House,21,IND,Michael R. McNulty,165,
,U.S. House,21,IND,Michael R. McNulty,9131,
ALBANY,U.S. House,21,CON,Michael R. McNulty,3548,
SCHENECTADY,U.S. House,21,CON,Michael R. McNulty,2646,
MONTGOMERY,U.S. House,21,CON,Michael R. McNulty,570,
RENSSELAER,U.S. House,21,CON,Michael R. McNulty,1488,
SARATOGA,U.S. House,21,CON,Michael R. McNulty,183,
,U.S. House,21,CON,Michael R. McNulty,8435,
ALBANY,U.S. House,21,,"Blank, Void & Scattering",13106,
SCHENECTADY,U.S. House,21,,"Blank, Void & Scattering",9990,
MONTGOMERY,U.S. House,21,,"Blank, Void & Scattering",3959,
RENSSELAER,U.S. House,21,,"Blank, Void & Scattering",4181,
SARATOGA,U.S. House,21,,"Blank, Void & Scattering",504,
,U.S. House,21,,"Blank, Void & Scattering",31740,
ALBANY,U.S. House,21,,Total,143579,
SCHENECTADY,U.S. House,21,,Total,67666,
MONTGOMERY,U.S. House,21,,Total,17343,
RENSSELAER,U.S. House,21,,Total,34781,
SARATOGA,U.S. House,21,,Total,4043,
,U.S. House,21,,Total,267412,
COLUMBIA,U.S. House,22,REP,John E. Sweeney,14451,
GREENE,U.S. House,22,REP,John E. Sweeney,11619,
WARREN,U.S. House,22,REP,John E. Sweeney,16755,
WASHINGTON,U.S. House,22,REP,John E. Sweeney,13956,
DUTCHESS,U.S. House,22,REP,John E. Sweeney,16596,
ESSEX,U.S. House,22,REP,John E. Sweeney,6854,
RENSSELAER,U.S. House,22,REP,John E. Sweeney,18101,
SARATOGA,U.S. House,22,REP,John E. Sweeney,52105,
SCHOHARIE,U.S. House,22,REP,John E. Sweeney,3560,
,U.S. House,22,REP,John E. Sweeney,153997,
COLUMBIA,U.S. House,22,DEM,Kenneth F. McCallion,8843,
GREENE,U.S. House,22,DEM,Kenneth F. McCallion,5106,
WARREN,U.S. House,22,DEM,Kenneth F. McCallion,6828,
WASHINGTON,U.S. House,22,DEM,Kenneth F. McCallion,5492,
DUTCHESS,U.S. House,22,DEM,Kenneth F. McCallion,10850,
ESSEX,U.S. House,22,DEM,Kenneth F. McCallion,2935,
RENSSELAER,U.S. House,22,DEM,Kenneth F. McCallion,8185,
SARATOGA,U.S. House,22,DEM,Kenneth F. McCallion,22964,
SCHOHARIE,U.S. House,22,DEM,Kenneth F. McCallion,1437,
,U.S. House,22,DEM,Kenneth F. McCallion,72640,
COLUMBIA,U.S. House,22,CON,John E. Sweeney,1706,
GREENE,U.S. House,22,CON,John E. Sweeney,1268,
WARREN,U.S. House,22,CON,John E. Sweeney,1247,
WASHINGTON,U.S. House,22,CON,John E. Sweeney,1104,
DUTCHESS,U.S. House,22,CON,John E. Sweeney,1532,
ESSEX,U.S. House,22,CON,John E. Sweeney,496,
RENSSELAER,U.S. House,22,CON,John E. Sweeney,2199,
SARATOGA,U.S. House,22,CON,John E. Sweeney,3518,
SCHOHARIE,U.S. House,22,CON,John E. Sweeney,301,
,U.S. House,22,CON,John E. Sweeney,13371,
COLUMBIA,U.S. House,22,GRE,Kenneth F. McCallion,671,
GREENE,U.S. House,22,GRE,Kenneth F. McCallion,333,
WARREN,U.S. House,22,GRE,Kenneth F. McCallion,343,
WASHINGTON,U.S. House,22,GRE,Kenneth F. McCallion,304,
DUTCHESS,U.S. House,22,GRE,Kenneth F. McCallion,872,
ESSEX,U.S. House,22,GRE,Kenneth F. McCallion,181,
RENSSELAER,U.S. House,22,GRE,Kenneth F. McCallion,726,
SARATOGA,U.S. House,22,GRE,Kenneth F. McCallion,1272,
SCHOHARIE,U.S. House,22,GRE,Kenneth F. McCallion,103,
,U.S. House,22,GRE,Kenneth F. McCallion,4805,
COLUMBIA,U.S. House,22,WOR,Kenneth F. McCallion,206,
GREENE,U.S. House,22,WOR,Kenneth F. McCallion,151,
WARREN,U.S. House,22,WOR,Kenneth F. McCallion,165,
WASHINGTON,U.S. House,22,WOR,Kenneth F. McCallion,102,
DUTCHESS,U.S. House,22,WOR,Kenneth F. McCallion,244,
ESSEX,U.S. House,22,WOR,Kenneth F. McCallion,61,
RENSSELAER,U.S. House,22,WOR,Kenneth F. McCallion,269,
SARATOGA,U.S. House,22,WOR,Kenneth F. McCallion,435,
SCHOHARIE,U.S. House,22,WOR,Kenneth F. McCallion,33,
,U.S. House,22,WOR,Kenneth F. McCallion,1666,
COLUMBIA,U.S. House,22,,"Blank, Void & Scattering",3102,
GREENE,U.S. House,22,,"Blank, Void & Scattering",2831,
WARREN,U.S. House,22,,"Blank, Void & Scattering",3470,
WASHINGTON,U.S. House,22,,"Blank, Void & Scattering",3008,
DUTCHESS,U.S. House,22,,"Blank, Void & Scattering",5171,
ESSEX,U.S. House,22,,"Blank, Void & Scattering",2434,
RENSSELAER,U.S. House,22,,"Blank, Void & Scattering",4871,
SARATOGA,U.S. House,22,,"Blank, Void & Scattering",11318,
SCHOHARIE,U.S. House,22,,"Blank, Void & Scattering",821,
,U.S. House,22,,"Blank, Void & Scattering",37026,
COLUMBIA,U.S. House,22,,Total,28979,
GREENE,U.S. House,22,,Total,21308,
WARREN,U.S. House,22,,Total,28808,
WASHINGTON,U.S. House,22,,Total,23966,
DUTCHESS,U.S. House,22,,Total,35265,
ESSEX,U.S. House,22,,Total,12961,
RENSSELAER,U.S. House,22,,Total,34351,
SARATOGA,U.S. House,22,,Total,91612,
SCHOHARIE,U.S. House,22,,Total,6255,
,U.S. House,22,,Total,283505,
CHENANGO,U.S. House,23,REP,Sherwood L. Boehlert,10894,
MADISON,U.S. House,23,REP,Sherwood L. Boehlert,10226,
ONEIDA,U.S. House,23,REP,Sherwood L. Boehlert,45296,
OTSEGO,U.S. House,23,REP,Sherwood L. Boehlert,13307,
BROOME,U.S. House,23,REP,Sherwood L. Boehlert,4300,
DELAWARE,U.S. House,23,REP,Sherwood L. Boehlert,9620,
HERKIMER,U.S. House,23,REP,Sherwood L. Boehlert,10994,
MONTGOMERY,U.S. House,23,REP,Sherwood L. Boehlert,1946,
SCHOHARIE,U.S. House,23,REP,Sherwood L. Boehlert,4051,
,U.S. House,23,REP,Sherwood L. Boehlert,110634,
CHENANGO,U.S. House,23,DEM,Richard W. Englebrecht,3123,
MADISON,U.S. House,23,DEM,Richard W. Englebrecht,5508,
ONEIDA,U.S. House,23,DEM,Richard W. Englebrecht,14690,
OTSEGO,U.S. House,23,DEM,Richard W. Englebrecht,4218,
BROOME,U.S. House,23,DEM,Richard W. Englebrecht,1330,
DELAWARE,U.S. House,23,DEM,Richard W. Englebrecht,3167,
HERKIMER,U.S. House,23,DEM,Richard W. Englebrecht,3943,
MONTGOMERY,U.S. House,23,DEM,Richard W. Englebrecht,596,
SCHOHARIE,U.S. House,23,DEM,Richard W. Englebrecht,1474,
,U.S. House,23,DEM,Richard W. Englebrecht,38049,
CHENANGO,U.S. House,23,IND,Sherwood L. Boehlert,1411,
MADISON,U.S. House,23,IND,Sherwood L. Boehlert,1180,
ONEIDA,U.S. House,23,IND,Sherwood L. Boehlert,5705,
OTSEGO,U.S. House,23,IND,Sherwood L. Boehlert,1873,
BROOME,U.S. House,23,IND,Sherwood L. Boehlert,222,
DELAWARE,U.S. House,23,IND,Sherwood L. Boehlert,1117,
HERKIMER,U.S. House,23,IND,Sherwood L. Boehlert,1395,
MONTGOMERY,U.S. House,23,IND,Sherwood L. Boehlert,178,
SCHOHARIE,U.S. House,23,IND,Sherwood L. Boehlert,417,
,U.S. House,23,IND,Sherwood L. Boehlert,13498,
CHENANGO,U.S. House,23,CON,David B. Vickers,2057,
MADISON,U.S. House,23,CON,David B. Vickers,6523,
ONEIDA,U.S. House,23,CON,David B. Vickers,18458,
OTSEGO,U.S. House,23,CON,David B. Vickers,2419,
BROOME,U.S. House,23,CON,David B. Vickers,307,
DELAWARE,U.S. House,23,CON,David B. Vickers,1255,
HERKIMER,U.S. House,23,CON,David B. Vickers,3714,
MONTGOMERY,U.S. House,23,CON,David B. Vickers,155,
SCHOHARIE,U.S. House,23,CON,David B. Vickers,357,
,U.S. House,23,CON,David B. Vickers,35245,
CHENANGO,U.S. House,23,RTL,David B. Vickers,637,
MADISON,U.S. House,23,RTL,David B. Vickers,1032,
ONEIDA,U.S. House,23,RTL,David B. Vickers,3683,
OTSEGO,U.S. House,23,RTL,David B. Vickers,565,
BROOME,U.S. House,23,RTL,David B. Vickers,130,
DELAWARE,U.S. House,23,RTL,David B. Vickers,412,
HERKIMER,U.S. House,23,RTL,David B. Vickers,953,
MONTGOMERY,U.S. House,23,RTL,David B. Vickers,67,
SCHOHARIE,U.S. House,23,RTL,David B. Vickers,130,
,U.S. House,23,RTL,David B. Vickers,7609,
CHENANGO,U.S. House,23,,"Blank, Void & Scattering",2419,
MADISON,U.S. House,23,,"Blank, Void & Scattering",4225,
ONEIDA,U.S. House,23,,"Blank, Void & Scattering",9603,
OTSEGO,U.S. House,23,,"Blank, Void & Scattering",3334,
BROOME,U.S. House,23,,"Blank, Void & Scattering",1767,
DELAWARE,U.S. House,23,,"Blank, Void & Scattering",2292,
HERKIMER,U.S. House,23,,"Blank, Void & Scattering",2924,
MONTGOMERY,U.S. House,23,,"Blank, Void & Scattering",830,
SCHOHARIE,U.S. House,23,,"Blank, Void & Scattering",982,
,U.S. House,23,,"Blank, Void & Scattering",28376,
CHENANGO,U.S. House,23,,Total,20541,
MADISON,U.S. House,23,,Total,28694,
ONEIDA,U.S. House,23,,Total,97435,
OTSEGO,U.S. House,23,,Total,25716,
BROOME,U.S. House,23,,Total,8056,
DELAWARE,U.S. House,23,,Total,17863,
HERKIMER,U.S. House,23,,Total,23923,
MONTGOMERY,U.S. House,23,,Total,3772,
SCHOHARIE,U.S. House,23,,Total,7411,
,U.S. House,23,,Total,233411,
CLINTON,U.S. House,24,REP,John M. McHugh,17313,
FRANKLIN,U.S. House,24,REP,John M. McHugh,9724,
FULTON,U.S. House,24,REP,John M. McHugh,11647,
HAMILTON,U.S. House,24,REP,John M. McHugh,2326,
JEFFERSON,U.S. House,24,REP,John M. McHugh,24225,
LEWIS,U.S. House,24,REP,John M. McHugh,6969,
OSWEGO,U.S. House,24,REP,John M. McHugh,27472,
ST. LAWRENCE,U.S. House,24,REP,John M. McHugh,23831,
ESSEX,U.S. House,24,REP,John M. McHugh,2815,
HERKIMER,U.S. House,24,REP,John M. McHugh,2191,
,U.S. House,24,REP,John M. McHugh,128513,
CLINTON,U.S. House,24,DEM,Neil P. Tallon,7855,
FRANKLIN,U.S. House,24,DEM,Neil P. Tallon,4147,
FULTON,U.S. House,24,DEM,Neil P. Tallon,4120,
HAMILTON,U.S. House,24,DEM,Neil P. Tallon,534,
JEFFERSON,U.S. House,24,DEM,Neil P. Tallon,4959,
LEWIS,U.S. House,24,DEM,Neil P. Tallon,1473,
OSWEGO,U.S. House,24,DEM,Neil P. Tallon,8538,
ST. LAWRENCE,U.S. House,24,DEM,Neil P. Tallon,8331,
ESSEX,U.S. House,24,DEM,Neil P. Tallon,1093,
HERKIMER,U.S. House,24,DEM,Neil P. Tallon,669,
,U.S. House,24,DEM,Neil P. Tallon,41719,
CLINTON,U.S. House,24,IND,Willard E. Smith,434,
FRANKLIN,U.S. House,24,IND,Willard E. Smith,287,
FULTON,U.S. House,24,IND,Willard E. Smith,267,
HAMILTON,U.S. House,24,IND,Willard E. Smith,41,
JEFFERSON,U.S. House,24,IND,Willard E. Smith,417,
LEWIS,U.S. House,24,IND,Willard E. Smith,162,
OSWEGO,U.S. House,24,IND,Willard E. Smith,715,
ST. LAWRENCE,U.S. House,24,IND,Willard E. Smith,749,
ESSEX,U.S. House,24,IND,Willard E. Smith,100,
HERKIMER,U.S. House,24,IND,Willard E. Smith,64,
,U.S. House,24,IND,Willard E. Smith,3236,
CLINTON,U.S. House,24,CON,John M. McHugh,1170,
FRANKLIN,U.S. House,24,CON,John M. McHugh,638,
FULTON,U.S. House,24,CON,John M. McHugh,668,
HAMILTON,U.S. House,24,CON,John M. McHugh,148,
JEFFERSON,U.S. House,24,CON,John M. McHugh,1933,
LEWIS,U.S. House,24,CON,John M. McHugh,485,
OSWEGO,U.S. House,24,CON,John M. McHugh,2412,
ST. LAWRENCE,U.S. House,24,CON,John M. McHugh,2041,
ESSEX,U.S. House,24,CON,John M. McHugh,162,
HERKIMER,U.S. House,24,CON,John M. McHugh,152,
,U.S. House,24,CON,John M. McHugh,9809,
CLINTON,U.S. House,24,GRE,Willard E. Smith,287,
FRANKLIN,U.S. House,24,GRE,Willard E. Smith,160,
FULTON,U.S. House,24,GRE,Willard E. Smith,162,
HAMILTON,U.S. House,24,GRE,Willard E. Smith,25,
JEFFERSON,U.S. House,24,GRE,Willard E. Smith,187,
LEWIS,U.S. House,24,GRE,Willard E. Smith,53,
OSWEGO,U.S. House,24,GRE,Willard E. Smith,431,
ST. LAWRENCE,U.S. House,24,GRE,Willard E. Smith,512,
ESSEX,U.S. House,24,GRE,Willard E. Smith,78,
HERKIMER,U.S. House,24,GRE,Willard E. Smith,36,
,U.S. House,24,GRE,Willard E. Smith,1931,
CLINTON,U.S. House,24,WOR,Neil P. Tallon,154,
FRANKLIN,U.S. House,24,WOR,Neil P. Tallon,52,
FULTON,U.S. House,24,WOR,Neil P. Tallon,102,
HAMILTON,U.S. House,24,WOR,Neil P. Tallon,17,
JEFFERSON,U.S. House,24,WOR,Neil P. Tallon,91,
LEWIS,U.S. House,24,WOR,Neil P. Tallon,22,
OSWEGO,U.S. House,24,WOR,Neil P. Tallon,286,
ST. LAWRENCE,U.S. House,24,WOR,Neil P. Tallon,227,
ESSEX,U.S. House,24,WOR,Neil P. Tallon,20,
HERKIMER,U.S. House,24,WOR,Neil P. Tallon,8,
,U.S. House,24,WOR,Neil P. Tallon,979,
CLINTON,U.S. House,24,,"Blank, Void & Scattering",3914,
FRANKLIN,U.S. House,24,,"Blank, Void & Scattering",2734,
FULTON,U.S. House,24,,"Blank, Void & Scattering",4942,
HAMILTON,U.S. House,24,,"Blank, Void & Scattering",642,
JEFFERSON,U.S. House,24,,"Blank, Void & Scattering",5047,
LEWIS,U.S. House,24,,"Blank, Void & Scattering",2002,
OSWEGO,U.S. House,24,,"Blank, Void & Scattering",9192,
ST. LAWRENCE,U.S. House,24,,"Blank, Void & Scattering",4745,
ESSEX,U.S. House,24,,"Blank, Void & Scattering",970,
HERKIMER,U.S. House,24,,"Blank, Void & Scattering",1019,
,U.S. House,24,,"Blank, Void & Scattering",35207,
CLINTON,U.S. House,24,,Total,31127,
FRANKLIN,U.S. House,24,,Total,17742,
FULTON,U.S. House,24,,Total,21908,
HAMILTON,U.S. House,24,,Total,3733,
JEFFERSON,U.S. House,24,,Total,36859,
LEWIS,U.S. House,24,,Total,11166,
OSWEGO,U.S. House,24,,Total,49046,
ST. LAWRENCE,U.S. House,24,,Total,40436,
ESSEX,U.S. House,24,,Total,5238,
HERKIMER,U.S. House,24,,Total,4139,
,U.S. House,24,,Total,221394,
CORTLAND,U.S. House,25,REP,James T. Walsh,11249,
ONONDAGA,U.S. House,25,REP,James T. Walsh,106228,
BROOME,U.S. House,25,REP,James T. Walsh,2091,
CAYUGA,U.S. House,25,REP,James T. Walsh,11019,
TIOGA,U.S. House,25,REP,James T. Walsh,1533,
,U.S. House,25,REP,James T. Walsh,132120,
CORTLAND,U.S. House,25,DEM,Francis J. Galvin,4172,
ONONDAGA,U.S. House,25,DEM,Francis J. Galvin,54600,
BROOME,U.S. House,25,DEM,Francis J. Galvin,852,
CAYUGA,U.S. House,25,DEM,Francis J. Galvin,4391,
TIOGA,U.S. House,25,DEM,Francis J. Galvin,518,
,U.S. House,25,DEM,Francis J. Galvin,64533,
CORTLAND,U.S. House,25,IND,James T. Walsh,1093,
ONONDAGA,U.S. House,25,IND,James T. Walsh,8290,
BROOME,U.S. House,25,IND,James T. Walsh,115,
CAYUGA,U.S. House,25,IND,James T. Walsh,937,
TIOGA,U.S. House,25,IND,James T. Walsh,77,
